Date,Firm,To Grade,From Grade,Action
2021-12-14,Goldman Sachs,Neutral,,main
2022-01-04,JP Morgan,Neutral,,main
2022-01-18,Morgan Stanley,Underweight,Equal-Weight,down
2022-02-03,Barclays,Equal-Weight,Overweight,down
2022-02-15,B of A Securities,Underperform,Neutral,down
2022-02-25,Telsey Advisory Group,Market Perform,,main
2022-03-04,BMO Capital,Market Perform,,main
2022-03-04,Credit Suisse,Neutral,,main
2022-03-04,JP Morgan,Neutral,,main
2022-04-01,Barclays,Underweight,Equal-Weight,down
2022-04-05,Wells Fargo,Overweight,,main
2022-04-18,Morgan Stanley,Equal-Weight,Underweight,up
2022-04-22,Telsey Advisory Group,Market Perform,,main
2022-04-22,Deutsche Bank,Buy,,main
2022-04-22,BMO Capital,Market Perform,,main
2022-04-22,B. Riley Securities,Neutral,,main
2022-04-22,Morgan Stanley,Equal-Weight,,main
2022-04-22,Goldman Sachs,Neutral,,main
2022-04-22,Credit Suisse,Neutral,,main
2022-04-25,Guggenheim,Buy,Neutral,up
