Date,Firm,To Grade,From Grade,Action
2020-04-21,Morgan Stanley,Underweight,,main
2020-04-30,UBS,Buy,,main
2020-05-06,Raymond James,Outperform,Market Perform,up
2020-06-04,UBS,Buy,,main
2020-06-04,Deutsche Bank,Buy,,main
2020-06-04,Morgan Stanley,Equal-Weight,Underweight,up
2020-06-04,Cowen & Co.,Market Perform,,main
2020-07-30,Citigroup,Buy,Neutral,up
2020-08-12,JP Morgan,Overweight,Neutral,up
2020-09-10,Morgan Stanley,Equal-Weight,,main
2020-09-10,Raymond James,Outperform,,main
2020-10-02,B of A Securities,Neutral,Underperform,up
2020-10-07,Barclays,Overweight,Equal-Weight,up
2020-10-14,Loop Capital,Hold,Sell,up
2020-11-20,Morgan Stanley,Equal-Weight,,main
2020-11-25,Raymond James,Outperform,,main
2020-11-25,B of A Securities,Neutral,,main
2020-11-25,Barclays,Overweight,,main
2020-11-25,UBS,Buy,,main
2020-11-30,Morgan Stanley,Equal-Weight,,main
2021-01-22,Morgan Stanley,Equal-Weight,,main
2021-01-22,Barclays,Overweight,,main
2021-01-22,BMO Capital,Market Perform,,main
2021-01-22,Deutsche Bank,Buy,,main
2021-01-22,UBS,Buy,,main
2021-01-25,RBC Capital,Outperform,Sector Perform,up
2021-03-09,Morgan Stanley,Equal-Weight,,main
2021-04-15,Telsey Advisory Group,Market Perform,,main
2021-04-16,Morgan Stanley,Equal-Weight,,main
2021-05-27,Telsey Advisory Group,Market Perform,,main
2021-06-01,Morgan Stanley,Equal-Weight,,main
2021-08-12,Wedbush,Neutral,Outperform,down
2021-09-02,CFRA,Buy,,main
2021-09-03,Telsey Advisory Group,Market Perform,,main
2021-09-09,CFRA,Hold,Buy,down
2021-11-29,Morgan Stanley,Equal-Weight,,main
2022-01-13,Barclays,Overweight,,main
2022-03-03,Deutsche Bank,Buy,,main
2022-03-03,JP Morgan,Overweight,,main
2022-03-03,Telsey Advisory Group,Market Perform,,main
2022-03-07,Morgan Stanley,Equal-Weight,,main
2022-04-01,Barclays,Equal-Weight,Overweight,down
